ANMOIS;APT;APT_NOM;APT_ZON;APT_PEQ;APT_PAX_dep;APT_PAX_arr;APT_PAX_tr;APT_FRP_dep;APT_FRP_arr;APT_NMVT_mxt;APT_NMVT_cgo
2019-03;NLWF;FUTUNA;OM;1064;489;545;0;0,7;2,3;109;3
2019-03;NLWW;WALLIS-HIHIFO;OM;3588;1696;1718;0;3,1;14,3;131;3
2019-03;NTAA;TAHITI FAA'A;OM;116420;52505;53019;126;455,8;621,1;1608;1
2019-03;NTAR;RURUTU;OM;1596;554;609;387;0,2;4,3;40;0
2019-03;NTAT;TUBUAI MATAURA;OM;1683;656;558;426;0,2;4,1;40;0
2019-03;NTGC;TIKEHAU;OM;3392;986;999;1375;0,2;3;90;0
2019-03;NTGF;FAKARAVA;OM;2331;939;862;495;0,4;3,1;65;1
2019-03;NTMD;NUKU HIVA;OM;3285;1383;1408;412;3,1;5,1;155;0
2019-03;NTMN;HIVA OA-ATUONA;OM;2339;984;967;333;0,3;5,3;102;0
2019-03;NTTB;BORA BORA;OM;24329;11249;11376;1560;2,8;11,7;566;2
2019-03;NTTG;RANGIROA;OM;5926;2246;2167;1366;6,6;8,1;146;0
2019-03;NTTH;HUAHINE;OM;9538;3225;3210;3019;3,8;4,6;246;0
2019-03;NTTM;MOOREA;OM;5461;2627;1550;1276;0;0,8;174;0
2019-03;NTTP;MAUPITI;OM;1996;957;991;0;-0,1;4,9;56;0
2019-03;NTTR;RAIATEA;OM;17995;7287;7268;3259;5,9;12,2;433;6
2019-03;NWWE;ILE DES PINS;OM;9339;4503;4550;0;5,8;22,8;208;0
2019-03;NWWL;LIFOU;OM;13125;6299;6290;0;13,3;40,3;438;0
2019-03;NWWM;NOUMEA MAGENTA;OM;35284;16564;17279;0;106,5;37,6;989;1
2019-03;NWWR;MARE;OM;7524;3605;3569;0;11,5;23,5;257;0
2019-03;NWWV;OUVEA;OM;5728;2663;2820;0;6,5;18,1;227;0
2019-03;NWWW;NOUMEA LA TONTOUTA;OM;44760;20698;20023;0;51,5;352,4;339;0
2019-03;SOCA;CAYENNE-FELIX EBOUE;OM;52857;25105;25027;0;77,2;195,3;621;45
2019-03;SOOA;MARIPASOULA;OM;3907;1483;1515;645;0,3;26,1;357;33
2019-03;TFFF;MARTINIQUE-AIME CESAIRE;OM;234865;113944;103495;4961;506,1;740,4;1652;11
2019-03;TFFG;ST-MARTIN-GRAND-CASE;OM;18573;9133;9118;4;15,3;16,5;608;36
2019-03;TFFJ;ST-BARTHELEMY;OM;22021;11213;10517;0;8,2;20,9;3917;104
2019-03;TFFR;POINTE-A-PITRE-LE RAIZET;OM;279356;133691;125148;6186;561;872,1;2432;57
2019-03;ZZMT; AUTRES APT (MT);MT;6510;2900;3099;23;44;4,8;1938;4
2019-03;ZZOM; AUTRES APT (OM);OM;16078;5391;5331;4819;5,5;48,1;1271;17
2019-04;FMCZ;MAYOTTE-MARCEL HENRY;OM;30129;14324;13129;265;19,6;221,5;308;0
2019-04;FMEE;LA REUNION-ROLAND GARROS;OM;202497;86978;88576;1069;620,1;1967,3;1013;10
2019-04;FMEP;ST-PIERRE-PIERREFONDS;OM;6815;3529;3281;0;0;0,5;150;0
2019-04;LFAQ;ALBERT-BRAY;MT;1897;172;165;0;99,2;56,8;79;19
2019-04;LFBA;AGEN-LA GARENNE;MT;1200;610;590;0;0;0;83;0
2019-04;LFBD;BORDEAUX-MERIGNAC;MT;697789;342232;340126;3855;443;714,6;5755;127
2019-04;LFBE;BERGERAC-DORDOGNE-PERIGORD;MT;25793;12579;13214;0;0;0;255;0
2019-04;LFBH;LA ROCHELLE-ILE DE RE;MT;21060;10609;10451;0;0;0;343;0
2019-04;LFBI;POITIERS-BIARD;MT;10387;4047;4050;2290;0;0;242;0
2019-04;LFBL;LIMOGES-BELLEGARDE;MT;29199;14493;14521;185;0;0;403;0
2019-04;LFBO;TOULOUSE-BLAGNAC;MT;898776;428712;409773;2324;2158;3638,7;7336;472
2019-04;LFBP;PAU-PYRENEES;MT;53145;25465;26423;2;56,1;69,4;838;12
2019-04;LFBT;TARBES-LOURDES-PYRENEES;MT;42710;20652;22058;0;0;0;372;0
2019-04;LFBZ;BIARRITZ-PAYS-BASQUE;MT;104859;50179;54680;0;0;0;898;0
2019-04;LFCK;CASTRES-MAZAMET;MT;4347;2189;2158;0;0;0;124;0
2019-04;LFCR;RODEZ-AVEYRON;MT;7888;3979;3909;0;0;0;177;0
2019-04;LFGJ;DOLE-TAVAUX;MT;9997;5035;4890;72;0;0;63;0
2019-04;LFJL;METZ-NANCY-LORRAINE;MT;19160;9487;9185;488;0;0;420;0
